t,Pcharge,Pdischarge
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,1.2155317883491815e-9
10,0.0,7.288519055524355e-9
11,9.050499990175982,0.0
12,16.884499990176273,0.0
13,22.20299999017628,0.0
14,25.327499990176282,0.0
15,25.297999990176287,0.0
16,19.340999990176282,0.0
17,9.702499990176262,0.0
18,0.0,1.1661555714623064
19,0.0,2.8187821334605303
20,0.0,3.3607364964009125
21,0.0,3.330378870007929
22,0.0,3.1923126312280723
23,0.0,3.0627834430213317
24,0.0,2.947348909559124
25,0.0,2.913507279517044
26,0.0,2.9483312583990853
27,0.0,3.0159123402806483
28,0.0,3.1036902832445636
29,0.0,3.2659403372319873
30,0.0,3.4757719573024386
31,0.0,4.00250152635891
32,0.0,4.527808580210793
33,0.0,4.185307064975324
34,0.0,1.1426961355814294
35,9.05049999017626,0.0
36,16.884499990176273,0.0
37,22.20299999017628,0.0
38,25.327499990176282,0.0
39,25.297999990176287,0.0
40,19.340999990176282,0.0
41,9.702499990176262,0.0
42,0.0,1.426817227005082
43,0.0,6.252402926648106
44,0.0,7.876559059903687
45,0.0,6.981492030022654
46,0.0,6.012044717999283
47,0.0,5.2752206174218506
48,0.0,4.706663209265276
49,0.0,4.419932905449642
50,0.0,4.322528316333537
51,0.0,4.302725894885142
52,0.0,4.321136162957958
53,0.0,4.476933527463241
54,0.0,4.70088944600689
55,0.0,5.493122422085593
56,0.0,6.212841953762916
57,0.0,5.283370850899426
58,0.0,1.186303800561024
59,9.05049999017626,0.0
60,16.884499990176273,0.0
61,22.20299999017628,0.0
62,25.327499990176282,0.0
63,25.297999990176287,0.0
64,19.340999990176282,0.0
65,9.702499990176262,0.0
66,0.0,1.4524102760641375
67,0.0,6.819324337734594
68,0.0,8.579341562345759
69,0.0,7.469329292183352
70,0.0,6.343760339971527
71,0.0,5.5088022251094
72,0.0,4.875335806618321
73,0.0,4.5547222700566685
74,0.0,4.439714539911778
75,0.0,4.408289699661425
76,0.0,4.417514470304681
