1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.2195;19.075;18.312;17.549;17.549;17.549;20.601;22.89;26.235;27.468;27.8495;29.3755;29.757;28.6125;25.942;25.179;24.7975;25.179;31.283;38.15;37.0055;32.809;27.8495;22.89
