1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1.44;12.06;25.02;36.9;46.26;51.96;53.94;51.24;44.52;34.5;22.14;9.42;0.36;0;0;0;0
