1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.6;6;13.38;19.68;25.32;28.62;30;28.14;24.3;18.6;11.64;4.5;0;0;0;0;0
