P2,P1,E,Pch,Pdis,Demand,Emax,SolarGen,Pdumped
1.71,18.51,10.0,0.0,0.0,20.22,120.0,0.0,3.31
1.47,17.61,10.0,0.0,0.0,19.08,120.0,0.0,3.31
1.71,16.6,10.0,0.0,0.0,18.31,120.0,0.0,3.31
1.65,15.9,10.0,0.0,0.0,17.55,120.0,0.0,3.31
1.66,15.89,10.0,0.0,0.0,17.55,120.0,0.0,3.31
1.66,15.89,10.0,0.0,0.0,17.55,120.0,0.0,3.31
1.72,18.88,10.0,0.0,0.0,20.6,120.0,0.0,3.31
1.74,19.71,10.0,0.0,0.0,22.89,120.0,1.44,3.31
1.6,12.58,10.0,0.0,0.0,26.24,120.0,12.06,3.31
1.15,1.3,10.0,0.0,0.0,27.47,120.0,25.02,3.31
0.0,0.0,10.0,9.05,0.0,27.85,120.0,36.9,3.31
0.0,0.0,17.09,16.88,0.0,29.38,120.0,46.26,3.31
0.0,0.0,31.25,22.2,0.0,29.76,120.0,51.96,3.31
0.0,0.0,50.3,25.33,0.0,28.61,120.0,53.94,3.31
0.0,0.0,72.3,25.3,0.0,25.94,120.0,51.24,3.31
0.0,0.0,94.38,19.34,0.0,25.18,120.0,44.52,3.31
0.0,0.0,110.54,9.7,0.0,24.8,120.0,34.5,3.31
0.29,0.48,120.0,0.0,2.27,25.18,120.0,22.14,3.31
1.48,1.15,117.67,0.0,19.23,31.28,120.0,9.42,3.31
1.81,6.58,97.95,0.0,29.4,38.15,120.0,0.36,3.31
1.8,14.26,67.79,0.0,20.94,37.01,120.0,0.0,3.31
1.82,17.4,46.31,0.0,13.58,32.81,120.0,0.0,3.31
1.81,18.82,32.38,0.0,7.22,27.85,120.0,0.0,3.31
1.75,18.53,24.98,0.0,2.61,22.89,120.0,0.0,3.31
1.68,17.58,22.3,0.0,0.96,20.22,120.0,0.0,3.31
1.65,16.72,21.32,0.0,0.7,19.08,120.0,0.0,3.31
1.63,16.02,20.6,0.0,0.66,18.31,120.0,0.0,3.31
1.6,15.28,19.92,0.0,0.67,17.55,120.0,0.0,3.31
1.6,15.21,19.24,0.0,0.74,17.55,120.0,0.0,3.31
1.58,15.1,18.48,0.0,0.87,17.55,120.0,0.0,3.31
1.63,17.69,17.59,0.0,1.29,20.6,120.0,0.0,3.31
1.59,17.73,16.27,0.0,2.13,22.89,120.0,1.44,3.31
1.34,10.3,14.08,0.0,2.53,26.24,120.0,12.06,3.31
0.42,0.59,11.48,0.0,1.44,27.47,120.0,25.02,3.31
0.0,0.0,10.0,9.05,0.0,27.85,120.0,36.9,3.31
0.0,0.0,17.09,16.88,0.0,29.38,120.0,46.26,3.31
0.0,0.0,31.24,22.2,0.0,29.76,120.0,51.96,3.31
0.0,0.0,50.3,25.33,0.0,28.61,120.0,53.94,3.31
0.0,0.0,72.3,25.3,0.0,25.94,120.0,51.24,3.31
0.0,0.0,94.38,19.34,0.0,25.18,120.0,44.52,3.31
0.0,0.0,110.54,9.7,0.0,24.8,120.0,34.5,3.31
0.56,0.59,120.0,0.0,1.89,25.18,120.0,22.14,3.31
