P2,P1,E,Pch,Pdis,Demand,Emax,SolarGen,Pdumped
0.0,0.0,128.35,19.34,0.0,25.18,199.59,44.52,0.0
0.0,0.0,143.82,9.7,0.0,24.8,199.59,34.5,0.0
0.0,1.58,151.58,0.0,1.46,25.18,199.58,22.14,0.0
0.0,14.87,149.87,0.0,7.0,31.28,199.58,9.42,0.0
0.0,28.97,141.64,0.0,8.82,38.15,199.57,0.36,0.0
0.0,29.37,131.26,0.0,7.63,37.01,199.56,0.0,0.0
0.0,26.37,122.28,0.0,6.44,32.81,199.56,0.0,0.0
0.0,22.3,114.7,0.0,5.55,27.85,199.55,0.0,0.0
0.0,18.0,108.17,0.0,4.89,22.89,199.55,0.0,0.0
0.0,15.68,102.42,0.0,4.54,20.22,199.54,0.0,0.0
0.0,14.67,97.07,0.0,4.41,19.08,199.54,0.0,0.0
0.0,13.95,91.89,0.0,4.36,18.31,199.53,0.0,0.0
0.0,13.19,86.75,0.0,4.36,17.55,199.53,0.0,0.0
0.0,13.05,81.63,0.0,4.5,17.55,199.52,0.0,0.0
0.0,12.84,76.34,0.0,4.71,17.55,199.52,0.0,0.0
0.0,15.1,70.8,0.0,5.5,20.6,199.51,0.0,0.0
0.0,15.21,64.33,0.0,6.24,22.89,199.51,1.44,0.0
0.0,8.84,57.0,0.0,5.34,26.24,199.5,12.06,0.0
0.0,1.26,50.71,0.0,1.19,27.47,199.5,25.02,0.0
0.0,0.0,49.31,9.05,0.0,27.85,199.49,36.9,0.0
0.0,0.0,56.55,16.88,0.0,29.38,199.49,46.26,0.0
0.0,0.0,70.06,22.2,0.0,29.76,199.49,51.96,0.0
0.0,0.0,87.82,25.33,0.0,28.61,199.48,53.94,0.0
0.0,0.0,108.09,25.3,0.0,25.94,199.48,51.24,0.0
0.0,0.0,128.32,19.34,0.0,25.18,199.47,44.52,0.0
0.0,0.0,143.8,9.7,0.0,24.8,199.47,34.5,0.0
0.0,1.58,151.56,0.0,1.46,25.18,199.46,22.14,0.0
0.0,14.86,149.84,0.0,7.0,31.28,199.46,9.42,0.0
0.0,28.96,141.61,0.0,8.83,38.15,199.45,0.36,0.0
0.0,29.37,131.23,0.0,7.63,37.01,199.44,0.0,0.0
0.0,26.37,122.25,0.0,6.44,32.81,199.44,0.0,0.0
0.0,22.3,114.67,0.0,5.55,27.85,199.43,0.0,0.0
0.0,18.0,108.14,0.0,4.89,22.89,199.43,0.0,0.0
0.0,15.68,102.39,0.0,4.54,20.22,199.42,0.0,0.0
0.0,14.67,97.04,0.0,4.41,19.08,199.42,0.0,0.0
0.0,13.95,91.86,0.0,4.36,18.31,199.41,0.0,0.0
0.0,13.19,86.73,0.0,4.36,17.55,199.41,0.0,0.0
0.0,13.05,81.6,0.0,4.5,17.55,199.4,0.0,0.0
0.0,12.84,76.31,0.0,4.71,17.55,199.4,0.0,0.0
0.0,15.1,70.77,0.0,5.5,20.6,199.39,0.0,0.0
0.0,15.21,64.3,0.0,6.24,22.89,199.39,1.44,0.0
0.0,8.83,56.97,0.0,5.34,26.24,199.38,12.06,0.0
0.0,1.26,50.68,0.0,1.19,27.47,199.38,25.02,0.0
0.0,0.0,49.28,9.05,0.0,27.85,199.37,36.9,0.0
0.0,0.0,56.52,16.88,0.0,29.38,199.37,46.26,0.0
0.0,0.0,70.03,22.2,0.0,29.76,199.37,51.96,0.0
0.0,0.0,87.79,25.33,0.0,28.61,199.36,53.94,0.0
0.0,0.0,108.05,25.3,0.0,25.94,199.36,51.24,0.0
0.0,0.0,128.29,19.34,0.0,25.18,199.36,44.52,0.0
0.0,0.0,143.76,9.7,0.0,24.8,199.35,34.5,0.0
0.0,1.58,151.53,0.0,1.46,25.18,199.34,22.14,0.0
0.0,14.86,149.81,0.0,7.0,31.28,199.34,9.42,0.0
0.0,28.96,141.58,0.0,8.83,38.15,199.33,0.36,0.0
0.0,29.37,131.19,0.0,7.63,37.01,199.32,0.0,0.0
0.0,26.37,122.21,0.0,6.44,32.81,199.32,0.0,0.0
0.0,22.3,114.64,0.0,5.55,27.85,199.31,0.0,0.0
0.0,18.0,108.1,0.0,4.89,22.89,199.31,0.0,0.0
0.0,15.68,102.36,0.0,4.54,20.22,199.3,0.0,0.0
0.0,14.67,97.01,0.0,4.41,19.08,199.3,0.0,0.0
0.0,13.95,91.83,0.0,4.36,18.31,199.29,0.0,0.0
0.0,13.19,86.7,0.0,4.36,17.55,199.29,0.0,0.0
0.0,13.05,81.57,0.0,4.5,17.55,199.28,0.0,0.0
0.0,12.84,76.28,0.0,4.71,17.55,199.28,0.0,0.0
0.0,15.1,70.74,0.0,5.5,20.6,199.27,0.0,0.0
0.0,15.21,64.27,0.0,6.24,22.89,199.27,1.44,0.0
0.0,8.83,56.93,0.0,5.34,26.24,199.26,12.06,0.0
0.0,1.26,50.65,0.0,1.19,27.47,199.26,25.02,0.0
0.0,0.0,49.25,9.05,0.0,27.85,199.26,36.9,0.0
0.0,0.0,56.49,16.88,0.0,29.38,199.25,46.26,0.0
0.0,0.0,70.0,22.2,0.0,29.76,199.25,51.96,0.0
0.0,0.0,87.76,25.33,0.0,28.61,199.24,53.94,0.0
0.0,0.0,108.02,25.3,0.0,25.94,199.24,51.24,0.0
0.0,0.0,128.26,19.34,0.0,25.18,199.24,44.52,0.0
0.0,0.0,143.73,9.7,0.0,24.8,199.23,34.5,0.0
0.0,1.58,151.49,0.0,1.46,25.18,199.22,22.14,0.0
0.0,14.86,149.78,0.0,7.0,31.28,199.22,9.42,0.0
0.0,28.96,141.54,0.0,8.83,38.15,199.21,0.36,0.0
0.0,29.37,131.16,0.0,7.63,37.01,199.21,0.0,0.0
0.0,26.37,122.18,0.0,6.44,32.81,199.2,0.0,0.0
0.0,22.3,114.6,0.0,5.55,27.85,199.19,0.0,0.0
0.0,18.01,108.07,0.0,4.88,22.89,199.19,0.0,0.0
0.0,15.68,102.32,0.0,4.54,20.22,199.18,0.0,0.0
0.0,14.67,96.98,0.0,4.41,19.08,199.18,0.0,0.0
0.0,13.95,91.8,0.0,4.36,18.31,199.17,0.0,0.0
0.0,13.19,86.67,0.0,4.36,17.55,199.17,0.0,0.0
0.0,13.05,81.54,0.0,4.5,17.55,199.16,0.0,0.0
0.0,12.84,76.25,0.0,4.71,17.55,199.16,0.0,0.0
0.0,15.1,70.71,0.0,5.5,20.6,199.15,0.0,0.0
0.0,15.21,64.24,0.0,6.24,22.89,199.15,1.44,0.0
0.0,8.83,56.9,0.0,5.34,26.24,199.14,12.06,0.0
0.0,1.26,50.62,0.0,1.19,27.47,199.14,25.02,0.0
0.0,0.0,49.22,9.05,0.0,27.85,199.14,36.9,0.0
0.0,0.0,56.46,16.88,0.0,29.38,199.13,46.26,0.0
0.0,0.0,69.96,22.2,0.0,29.76,199.13,51.96,0.0
0.0,0.0,87.73,25.33,0.0,28.61,199.12,53.94,0.0
0.0,0.0,107.99,25.3,0.0,25.94,199.12,51.24,0.0
0.0,0.0,128.23,19.34,0.0,25.18,199.12,44.52,0.0
0.0,0.0,143.7,9.7,0.0,24.8,199.11,34.5,0.0
0.0,1.58,151.46,0.0,1.46,25.18,199.1,22.14,0.0
0.0,14.86,149.75,0.0,7.0,31.28,199.1,9.42,0.0
0.0,28.96,141.51,0.0,8.83,38.15,199.09,0.36,0.0
0.0,29.37,131.12,0.0,7.63,37.01,199.09,0.0,0.0
0.0,26.37,122.14,0.0,6.44,32.81,199.08,0.0,0.0
0.0,22.3,114.57,0.0,5.55,27.85,199.07,0.0,0.0
0.0,18.01,108.04,0.0,4.88,22.89,199.07,0.0,0.0
0.0,15.68,102.29,0.0,4.54,20.22,199.06,0.0,0.0
0.0,14.67,96.95,0.0,4.41,19.08,199.06,0.0,0.0
0.0,13.95,91.77,0.0,4.36,18.31,199.05,0.0,0.0
0.0,13.19,86.64,0.0,4.36,17.55,199.05,0.0,0.0
0.0,13.05,81.51,0.0,4.5,17.55,199.04,0.0,0.0
0.0,12.84,76.22,0.0,4.71,17.55,199.04,0.0,0.0
0.0,15.1,70.69,0.0,5.5,20.6,199.03,0.0,0.0
0.0,15.21,64.22,0.0,6.24,22.89,199.03,1.44,0.0
0.0,8.83,56.87,0.0,5.34,26.24,199.02,12.06,0.0
0.0,1.26,50.59,0.0,1.19,27.47,199.02,25.02,0.0
0.0,0.0,49.18,9.05,0.0,27.85,199.02,36.9,0.0
0.0,0.0,56.42,16.88,0.0,29.38,199.01,46.26,0.0
0.0,0.0,69.93,22.2,0.0,29.76,199.01,51.96,0.0
0.0,0.0,87.69,25.33,0.0,28.61,199.01,53.94,0.0
0.0,0.0,107.96,25.3,0.0,25.94,199.0,51.24,0.0
0.0,0.0,128.19,19.34,0.0,25.18,199.0,44.52,0.0
0.0,0.0,143.67,9.7,0.0,24.8,198.99,34.5,0.0
0.0,1.58,151.43,0.0,1.46,25.18,198.98,22.14,0.0
0.0,14.86,149.71,0.0,7.01,31.28,198.98,9.42,0.0
0.0,28.96,141.47,0.0,8.83,38.15,198.97,0.36,0.0
0.0,29.37,131.08,0.0,7.63,37.01,198.97,0.0,0.0
0.0,26.37,122.11,0.0,6.44,32.81,198.96,0.0,0.0
0.0,22.3,114.53,0.0,5.55,27.85,198.95,0.0,0.0
0.0,18.01,108.01,0.0,4.88,22.89,198.95,0.0,0.0
0.0,15.68,102.26,0.0,4.54,20.22,198.94,0.0,0.0
0.0,14.67,96.92,0.0,4.41,19.08,198.94,0.0,0.0
0.0,13.95,91.74,0.0,4.36,18.31,198.93,0.0,0.0
0.0,13.19,86.61,0.0,4.36,17.55,198.93,0.0,0.0
0.0,13.05,81.48,0.0,4.5,17.55,198.92,0.0,0.0
0.0,12.84,76.2,0.0,4.71,17.55,198.92,0.0,0.0
0.0,15.1,70.66,0.0,5.5,20.6,198.91,0.0,0.0
0.0,15.21,64.19,0.0,6.24,22.89,198.91,1.44,0.0
0.0,8.83,56.84,0.0,5.35,26.24,198.91,12.06,0.0
0.0,1.26,50.55,0.0,1.19,27.47,198.9,25.02,0.0
0.0,0.0,49.15,9.05,0.0,27.85,198.9,36.9,0.0
0.0,0.0,56.39,16.88,0.0,29.38,198.89,46.26,0.0
0.0,0.0,69.9,22.2,0.0,29.76,198.89,51.96,0.0
0.0,0.0,87.66,25.33,0.0,28.61,198.89,53.94,0.0
0.0,0.0,107.92,25.3,0.0,25.94,198.88,51.24,0.0
0.0,0.0,128.16,19.34,0.0,25.18,198.88,44.52,0.0
0.0,0.0,143.63,9.7,0.0,24.8,198.87,34.5,0.0
0.0,1.58,151.4,0.0,1.46,25.18,198.87,22.14,0.0
0.0,14.86,149.68,0.0,7.01,31.28,198.86,9.42,0.0
0.0,28.96,141.44,0.0,8.83,38.15,198.85,0.36,0.0
0.0,29.37,131.05,0.0,7.63,37.01,198.85,0.0,0.0
