t,Pcharge,Pdischarge
1,0.0,0.0
2,9.56802271480205e-6,0.0
3,3.105508113019342e-6,6.393694387239278e-7
4,2.017680950924853e-6,7.394218944001228e-7
5,1.529621906814586e-6,8.510250235904421e-7
6,1.2410581705172677e-6,9.89425613078291e-7
7,1.0447616078767904e-6,1.1747549056393243e-6
8,8.984201224413999e-7,1.4465667545682727e-6
9,7.806143377022673e-7,1.9044997999699304e-6
10,6.753620645395448e-7,2.916152335710495e-6
11,9.050501130334608,5.491353896601493e-7
12,16.884501169044754,5.878456366538663e-7
13,22.203001169044732,5.878456515188266e-7
14,25.327501169044705,5.878456476343949e-7
15,25.29800116904471,5.87845650592948e-7
16,19.341001169044752,5.87845670271579e-7
17,9.702501169044805,5.878456979965396e-7
18,5.878459267321371e-7,1.3667412597813466
19,5.878457312702413e-7,5.300125495052081
20,5.878457143412589e-7,6.966677845090748
21,5.878457172351308e-7,6.578409706499535
22,5.878457231037726e-7,5.931601197852684
23,5.878457292365868e-7,5.37752828172725
24,5.878457354852523e-7,4.909875551009633
25,5.878457386349899e-7,4.697573444799399
26,5.878457388041213e-7,4.675672470227898
27,5.878457376552296e-7,4.733775437190336
28,5.878457358930295e-7,4.831768420789586
29,5.878457316142086e-7,5.105326034982975
30,5.87845726441013e-7,5.477984782473192
31,5.878457136369564e-7,6.700217291330388
32,5.878457041731065e-7,7.904816040253944
33,5.878457137584203e-7,6.461552551072509
34,5.878459497334535e-7,1.2347471522735758
35,9.050501169044738,5.878456971670239e-7
36,16.88450116904468,5.878456755778867e-7
37,22.20300116904465,5.878456648988993e-7
38,25.327501169044623,5.878456554280232e-7
39,25.298001169044632,5.878456558258726e-7
40,19.341001169044674,5.878456730130542e-7
41,9.702501169044735,5.878456982415934e-7
42,5.878458964089519e-7,1.5432079306806343
43,5.878456983203469e-7,9.759611400674142
44,5.878456884165019e-7,13.134566065011763
45,5.878456948703725e-7,11.093845918280683
46,5.878457026370977e-7,9.103873666081242
47,5.878457104607865e-7,7.637263789254561
48,5.878457184401791e-7,6.53594274122643
49,5.878457232490653e-7,5.997688495093199
50,5.878457249082947e-7,5.81553577289436
51,5.878457251555859e-7,5.768959561780905
52,5.878457247526013e-7,5.78108588631573
53,5.878457217567914e-7,6.03657630642338
54,5.878457178867929e-7,6.403334467000217
55,5.87845706284628e-7,7.88811093664126
56,5.878456982600149e-7,9.209276243057115
57,5.878457095871165e-7,7.085769227327917
58,5.878459464652968e-7,1.2526728623325236
59,9.05050116904473,5.87845697995671e-7
60,16.884501169044675,5.878456762106278e-7
61,22.203001169044644,5.878456653730666e-7
62,25.32750116904462,5.878456557997802e-7
63,25.298001169044625,5.87845656084214e-7
64,19.34100116904467,5.878456730632035e-7
65,9.702501169044732,5.878456980108514e-7
66,5.878458947407969e-7,1.5524339094730593
67,5.878456970156655e-7,10.010339683146164
68,5.878456875342372e-7,13.454150848693587
69,5.878456941954079e-7,11.307590855640877
70,5.878457020426158e-7,9.243690774524069
71,5.878457099235879e-7,7.730400627627267
72,5.878457179582179e-7,6.598873700791351
73,5.878457228188819e-7,6.045811482749076
74,5.878457245236669e-7,5.856506377442525
75,5.878457248130548e-7,5.805310634226019
76,5.878457244506513e-7,5.813725843662555
77,5.878457214928622e-7,6.068127808374339
78,5.878457176613555e-7,6.434221187584371
79,5.878457060951035e-7,7.927657426683177
80,5.878456981131083e-7,9.251700570646538
81,5.878457094878149e-7,7.105267526176099
82,5.878459463814167e-7,1.2532395730596162
83,9.05050116904473,5.878456980397429e-7
84,16.884501169044675,5.878456762492979e-7
85,22.203001169044644,5.878456654064576e-7
86,25.32750116904462,5.878456558282733e-7
87,25.298001169044625,5.878456561062199e-7
88,19.34100116904467,5.878456730747762e-7
89,9.702501169044732,5.878456980098366e-7
90,5.878458946932454e-7,1.552722449176921
91,5.878456969813213e-7,10.01790953786899
92,5.878456875156618e-7,13.463500196709782
93,5.878456941857626e-7,11.313761192628675
94,5.878457020372601e-7,9.247697768388475
95,5.878457099212703e-7,7.7330598057451025
96,5.878457179584926e-7,6.600671131414611
97,5.878457228213924e-7,6.047191826631775
98,5.878457245280673e-7,5.85769322128075
99,5.878457248191159e-7,5.806382068990074
100,5.878457244582124e-7,5.8147147390589335
101,5.878457215017294e-7,6.069122790494614
102,5.878457176714317e-7,6.435252959798408
103,5.878457061061471e-7,7.929087459259862
104,5.878456981251118e-7,9.25342940288486
105,5.878457095007079e-7,7.106230561936654
106,5.878459463936338e-7,1.2532759839228382
107,9.05050116904473,5.878456980604577e-7
108,16.884501169044675,5.878456762700589e-7
109,22.203001169044644,5.878456654263845e-7
110,25.32750116904462,5.878456558462002e-7
111,25.298001169044625,5.878456561209531e-7
112,19.34100116904467,5.878456730853379e-7
113,9.702501169044732,5.878456980164626e-7
114,5.878458946960149e-7,1.5527354412807126
115,5.878456969856803e-7,10.018062447851534
116,5.878456875231004e-7,13.463431938604998
117,5.878456941959823e-7,11.3136487112395
118,5.878457020494561e-7,9.247603823834206
119,5.87845709934878e-7,7.7329938850973114
120,5.87845717973124e-7,6.600631345670923
121,5.878457228367835e-7,6.047169632292231
122,5.878457245440448e-7,5.857687547668268
123,5.878457248355483e-7,5.806397199114845
124,5.8784572447498e-7,5.814756570797292
125,5.878457215187143e-7,6.069204087416844
126,5.878457176885119e-7,6.435392403378053
127,5.878457061231577e-7,7.9293781401550225
128,5.878456981418386e-7,9.253943256864938
129,5.878457095169397e-7,7.106641046376222
130,5.878459464087166e-7,1.2532965828618186
131,9.05050116904473,5.878456980804752e-7
132,16.884501169044675,5.878456762902868e-7
133,22.203001169044644,5.878456654459107e-7
134,25.32750116904462,5.878456558638193e-7
135,25.298001169044625,5.87845656135474e-7
136,19.34100116904467,5.878456730958705e-7
137,9.702501169044732,5.878456980233222e-7
138,5.878458947002858e-7,1.5527402237864236
139,5.878456969911972e-7,10.017994895277415
140,5.878456875313163e-7,13.463082228910745
141,5.878456942067964e-7,11.3133485399795
142,5.878457020621757e-7,9.247387876661282
143,5.878457099489611e-7,7.732846857512482
144,5.878457179881839e-7,6.60053654751479
145,5.878457228525581e-7,6.047105873118146
146,5.87845724560369e-7,5.857646547745187
147,5.878457248522945e-7,5.806380821887932
148,5.878457244920254e-7,5.814770176666894
149,5.878457215359455e-7,6.069257708709481
150,5.878457177058047e-7,6.435505108770066
151,5.878457061403488e-7,7.929634911803133
152,5.878456981587089e-7,9.254420938558551
153,5.878457095332695e-7,7.107035106960253
154,5.878459464238844e-7,1.2533167117141726
155,9.05050116904473,5.878456981004733e-7
156,16.884501169044675,5.878456763104958e-7
157,22.203001169044644,5.878456654654259e-7
158,25.32750116904462,5.878456558814271e-7
159,25.298001169044625,5.87845656149989e-7
160,19.34100116904467,5.878456731064052e-7
161,9.702501169044732,5.878456980301848e-7
162,5.878458947046039e-7,1.5527447576681346
163,5.878456969967522e-7,10.017920175057368
164,5.87845687539559e-7,13.462724497122625
165,5.878456942176311e-7,11.313043479456217
166,5.878457020749142e-7,9.247168911141372
167,5.878457099630615e-7,7.732696950052113
168,5.878457180032594e-7,6.600440414086712
169,5.878457228683477e-7,6.047040626096313
170,5.878457245767066e-7,5.857604050585486
171,5.878457248690507e-7,5.806363229561061
172,5.878457245090836e-7,5.814782700063817
173,5.878457215531829e-7,6.069310830820547
174,5.878457177231069e-7,6.435617065405966
175,5.878457061575432e-7,7.929890637013721
176,5.878456981755875e-7,9.254897616651634
177,5.878457095496051e-7,7.107428539678499
178,5.87845946439056e-7,1.2533368277286354
179,9.05050116904473,5.878456981204736e-7
180,16.884501169044675,5.878456763307112e-7
181,22.203001169044644,5.878456654849437e-7
182,25.32750116904462,5.878456558990375e-7
183,25.298001169044625,5.87845656164507e-7
184,19.34100116904467,5.878456731169399e-7
185,9.702501169044732,5.878456980370555e-7
186,5.878458947089243e-7,1.552749302714555
187,5.878456970023056e-7,10.017845873233966
188,5.878456875478047e-7,13.462366635734412
189,5.878456942284686e-7,11.312737595787544
190,5.878457020876557e-7,9.246948679753288
191,5.878457099771646e-7,7.732547483323108
192,5.878457180183393e-7,6.600343931082647
193,5.878457228841393e-7,6.046975439859128
194,5.878457245930447e-7,5.85756200810064
195,5.878457248858082e-7,5.8063457893847765
196,5.878457245261405e-7,5.814795601719148
197,5.878457215704233e-7,6.0693639160027075
