P2,P1,E,Pch,Pdis,Demand,Emax,SolarGen,Pdumped
0.0,20.22,10.0,0.0,0.0,20.22,300.0,0.0,96080.0
0.0,19.07,10.0,0.0,0.0,19.08,300.0,0.0,96080.0
0.0,18.31,10.0,0.0,0.0,18.31,300.0,0.0,96080.0
0.0,17.55,10.0,0.0,0.0,17.55,300.0,0.0,96080.0
0.0,17.55,10.0,0.0,0.0,17.55,300.0,0.0,96080.0
0.0,17.55,10.0,0.0,0.0,17.55,300.0,0.0,96080.0
0.0,20.6,10.0,0.0,0.0,20.6,300.0,0.0,96080.0
0.0,21.45,10.0,0.0,0.0,22.89,300.0,1.44,96080.0
0.0,14.17,10.0,0.0,0.0,26.24,300.0,12.06,96080.0
0.0,2.45,10.0,0.0,0.0,27.47,300.0,25.02,96080.0
0.0,0.0,10.0,9.05,0.0,27.85,300.0,36.9,96080.0
0.0,0.0,18.82,16.88,0.0,29.38,300.0,46.26,96080.0
0.0,0.0,35.29,22.2,0.0,29.76,300.0,51.96,96080.0
0.0,0.0,56.93,25.33,0.0,28.61,300.0,53.94,96080.0
0.0,0.0,81.63,25.3,0.0,25.94,300.0,51.24,96080.0
0.0,0.0,106.29,19.34,0.0,25.18,300.0,44.52,96080.0
0.0,0.0,125.15,9.7,0.0,24.8,300.0,34.5,96080.0
0.0,1.61,134.61,0.0,1.43,25.18,300.0,22.14,96080.0
0.0,9.97,133.14,0.0,11.89,31.28,300.0,9.42,96080.0
0.0,20.63,120.95,0.0,17.16,38.15,300.0,0.36,96080.0
0.0,24.09,103.35,0.0,12.92,37.01,300.0,0.0,96080.0
0.0,24.52,90.1,0.0,8.29,32.81,300.0,0.0,96080.0
0.0,23.39,81.59,0.0,4.46,27.85,300.0,0.0,96080.0
0.0,21.23,77.02,0.0,1.66,22.89,300.0,0.0,96080.0
0.0,19.45,75.32,0.0,0.77,20.22,300.0,0.0,96080.0
0.0,18.85,74.53,0.0,0.23,19.08,300.0,0.0,96080.0
0.0,18.16,74.29,0.0,0.16,18.31,300.0,0.0,96080.0
0.0,17.42,74.13,0.0,0.13,17.55,300.0,0.0,96080.0
0.0,17.41,74.0,0.0,0.14,17.55,300.0,0.0,96080.0
0.0,17.4,73.86,0.0,0.15,17.55,300.0,0.0,96080.0
0.0,16.83,73.7,0.0,3.77,20.6,300.0,0.0,96080.0
0.0,13.88,69.84,0.0,7.57,22.89,300.0,1.44,96080.0
0.0,10.34,62.08,0.0,3.83,26.24,300.0,12.06,96080.0
0.0,2.4,58.15,0.0,0.05,27.47,300.0,25.02,96080.0
0.0,0.0,58.1,9.05,0.0,27.85,300.0,36.9,96080.0
0.0,0.0,66.92,16.88,0.0,29.38,300.0,46.26,96080.0
0.0,0.0,83.38,22.2,0.0,29.76,300.0,51.96,96080.0
0.0,0.0,105.03,25.33,0.0,28.61,300.0,53.94,96080.0
0.0,0.0,129.73,25.3,0.0,25.94,300.0,51.24,96080.0
0.0,0.0,154.39,19.34,0.0,25.18,300.0,44.52,96080.0
0.0,0.0,173.25,9.7,0.0,24.8,300.0,34.5,96080.0
0.0,2.98,182.71,0.0,0.06,25.18,300.0,22.14,96080.0
0.0,12.98,182.65,0.0,8.88,31.28,300.0,9.42,96080.0
0.0,17.95,173.54,0.0,19.84,38.15,300.0,0.36,96080.0
0.0,19.04,153.19,0.0,17.97,37.01,300.0,0.0,96080.0
0.0,18.68,134.76,0.0,14.13,32.81,300.0,0.0,96080.0
0.0,18.06,120.27,0.0,9.79,27.85,300.0,0.0,96080.0
0.0,18.18,110.23,0.0,4.71,22.89,300.0,0.0,96080.0
0.0,18.5,105.4,0.0,1.72,20.22,300.0,0.0,96080.0
0.0,18.82,103.64,0.0,0.25,19.08,300.0,0.0,96080.0
0.0,18.15,103.38,0.0,0.16,18.31,300.0,0.0,96080.0
0.0,17.42,103.21,0.0,0.13,17.55,300.0,0.0,96080.0
0.0,17.41,103.08,0.0,0.14,17.55,300.0,0.0,96080.0
0.0,17.4,102.94,0.0,0.15,17.55,300.0,0.0,96080.0
0.0,13.12,102.79,0.0,7.48,20.6,300.0,0.0,96080.0
0.0,11.39,95.11,0.0,10.06,22.89,300.0,1.44,96080.0
0.0,9.41,84.8,0.0,4.77,26.24,300.0,12.06,96080.0
0.0,2.4,79.91,0.0,0.05,27.47,300.0,25.02,96080.0
0.0,0.0,79.86,9.05,0.0,27.85,300.0,36.9,96080.0
0.0,0.0,88.69,16.88,0.0,29.38,300.0,46.26,96080.0
0.0,0.0,105.15,22.2,0.0,29.76,300.0,51.96,96080.0
0.0,0.0,126.8,25.33,0.0,28.61,300.0,53.94,96080.0
0.0,0.0,151.49,25.3,0.0,25.94,300.0,51.24,96080.0
0.0,0.0,176.16,19.34,0.0,25.18,300.0,44.52,96080.0
0.0,0.0,195.02,9.7,0.0,24.8,300.0,34.5,96080.0
0.0,2.98,204.48,0.0,0.06,25.18,300.0,22.14,96080.0
0.0,11.94,204.42,0.0,9.92,31.28,300.0,9.42,96080.0
0.0,16.54,194.24,0.0,21.25,38.15,299.99,0.36,96080.0
0.0,17.37,172.45,0.0,19.64,37.01,299.99,0.0,96080.0
0.0,16.85,152.31,0.0,15.96,32.81,299.99,0.0,96080.0
0.0,16.17,135.94,0.0,11.68,27.85,299.99,0.0,96080.0
0.0,16.37,123.96,0.0,6.52,22.89,299.99,0.0,96080.0
0.0,17.84,117.27,0.0,2.38,20.22,299.99,0.0,96080.0
0.0,18.82,114.83,0.0,0.25,19.08,299.99,0.0,96080.0
0.0,18.15,114.57,0.0,0.16,18.31,299.99,0.0,96080.0
0.0,17.42,114.41,0.0,0.13,17.55,299.99,0.0,96080.0
0.0,17.41,114.28,0.0,0.13,17.55,299.99,0.0,96080.0
0.0,17.4,114.14,0.0,0.15,17.55,299.99,0.0,96080.0
0.0,11.78,113.99,0.0,8.82,20.6,299.99,0.0,96080.0
0.0,10.52,104.94,0.0,10.93,22.89,299.99,1.44,96080.0
0.0,9.01,93.73,0.0,5.16,26.24,299.99,12.06,96080.0
0.0,2.4,88.43,0.0,0.05,27.47,299.99,25.02,96080.0
0.0,0.0,88.39,9.05,0.0,27.85,299.99,36.9,96080.0
0.0,0.0,97.21,16.88,0.0,29.38,299.99,46.26,96080.0
0.0,0.0,113.67,22.2,0.0,29.76,299.99,51.96,96080.0
0.0,0.0,135.32,25.33,0.0,28.61,299.99,53.94,96080.0
0.0,0.0,160.02,25.3,0.0,25.94,299.99,51.24,96080.0
0.0,0.0,184.68,19.34,0.0,25.18,299.99,44.52,96080.0
0.0,0.0,203.54,9.7,0.0,24.8,299.99,34.5,96080.0
0.0,2.98,213.0,0.0,0.06,25.18,299.99,22.14,96080.0
0.0,11.54,212.94,0.0,10.32,31.28,299.99,9.42,96080.0
0.0,16.09,202.36,0.0,21.7,38.15,299.99,0.36,96080.0
0.0,16.86,180.1,0.0,20.15,37.01,299.99,0.0,96080.0
0.0,16.29,159.44,0.0,16.52,32.81,299.99,0.0,96080.0
0.0,15.58,142.5,0.0,12.27,27.85,299.99,0.0,96080.0
0.0,15.7,129.91,0.0,7.19,22.89,299.99,0.0,96080.0
0.0,17.49,122.54,0.0,2.73,20.22,299.99,0.0,96080.0
0.0,18.82,119.74,0.0,0.26,19.08,299.99,0.0,96080.0
0.0,18.15,119.47,0.0,0.16,18.31,299.99,0.0,96080.0
0.0,17.42,119.3,0.0,0.13,17.55,299.99,0.0,96080.0
0.0,17.41,119.17,0.0,0.13,17.55,299.99,0.0,96080.0
0.0,17.4,119.03,0.0,0.15,17.55,299.99,0.0,96080.0
0.0,11.31,118.88,0.0,9.29,20.6,299.99,0.0,96080.0
0.0,10.19,109.36,0.0,11.26,22.89,299.99,1.44,96080.0
0.0,8.9,97.81,0.0,5.28,26.24,299.99,12.06,96080.0
0.0,2.4,92.4,0.0,0.05,27.47,299.99,25.02,96080.0
0.0,0.0,92.35,9.05,0.0,27.85,299.99,36.9,96080.0
0.0,0.0,101.17,16.88,0.0,29.38,299.99,46.26,96080.0
0.0,0.0,117.64,22.2,0.0,29.76,299.99,51.96,96080.0
0.0,0.0,139.28,25.33,0.0,28.61,299.99,53.94,96080.0
0.0,0.0,163.98,25.3,0.0,25.94,299.99,51.24,96080.0
0.0,0.0,188.64,19.34,0.0,25.18,299.99,44.52,96080.0
0.0,0.0,207.5,9.7,0.0,24.8,299.99,34.5,96080.0
0.0,2.98,216.96,0.0,0.06,25.18,299.99,22.14,96080.0
0.0,11.4,216.9,0.0,10.46,31.28,299.99,9.42,96080.0
0.0,15.94,206.17,0.0,21.85,38.15,299.99,0.36,96080.0
0.0,16.69,183.76,0.0,20.32,37.01,299.99,0.0,96080.0
0.0,16.09,162.92,0.0,16.71,32.81,299.99,0.0,96080.0
0.0,15.37,145.77,0.0,12.48,27.85,299.99,0.0,96080.0
0.0,15.43,132.97,0.0,7.46,22.89,299.99,0.0,96080.0
0.0,17.3,125.32,0.0,2.92,20.22,299.99,0.0,96080.0
0.0,18.81,122.32,0.0,0.27,19.08,299.99,0.0,96080.0
0.0,18.15,122.05,0.0,0.17,18.31,299.99,0.0,96080.0
0.0,17.42,121.88,0.0,0.13,17.55,299.99,0.0,96080.0
0.0,17.41,121.75,0.0,0.14,17.55,299.99,0.0,96080.0
0.0,17.4,121.61,0.0,0.15,17.55,299.99,0.0,96080.0
0.0,11.11,121.46,0.0,9.49,20.6,299.99,0.0,96080.0
0.0,10.05,111.72,0.0,11.4,22.89,299.99,1.44,96080.0
0.0,8.85,100.04,0.0,5.32,26.24,299.99,12.06,96080.0
0.0,2.4,94.58,0.0,0.05,27.47,299.99,25.02,96080.0
0.0,0.0,94.53,9.05,0.0,27.85,299.99,36.9,96080.0
0.0,0.0,103.36,16.88,0.0,29.38,299.99,46.26,96080.0
0.0,0.0,119.82,22.2,0.0,29.76,299.99,51.96,96080.0
0.0,0.0,141.47,25.33,0.0,28.61,299.99,53.94,96080.0
0.0,0.0,166.16,25.3,0.0,25.94,299.99,51.24,96080.0
0.0,0.0,190.83,19.34,0.0,25.18,299.99,44.52,96080.0
0.0,0.0,209.68,9.7,0.0,24.8,299.99,34.5,96080.0
0.0,2.98,219.14,0.0,0.06,25.18,299.99,22.14,96080.0
0.0,11.34,219.08,0.0,10.52,31.28,299.99,9.42,96080.0
0.0,15.88,208.29,0.0,21.91,38.15,299.99,0.36,96080.0
0.0,16.62,185.82,0.0,20.39,37.01,299.98,0.0,96080.0
0.0,16.01,164.91,0.0,16.79,32.81,299.98,0.0,96080.0
0.0,15.28,147.68,0.0,12.57,27.85,299.98,0.0,96080.0
0.0,15.31,134.79,0.0,7.58,22.89,299.98,0.0,96080.0
0.0,17.19,127.02,0.0,3.03,20.22,299.98,0.0,96080.0
0.0,18.8,123.91,0.0,0.28,19.08,299.98,0.0,96080.0
